Solute;Solvent;SoluteSMILES;SolventSMILES;DeltaGsolv
KVNRLNFWIYMESJ-UHFFFAOYSA-N;OKKJLVBELUTLKV-UHFFFAOYSA-N;CCCC#N;CO;-5.21155539
RTZKZFJDLAIYFH-UHFFFAOYSA-N;GGYVTHJIUNGKFZ-UHFFFAOYSA-N;CCOCC;CN1CCCCC1=O;-2.76939549
XCSGPAVHZFQHGE-UHFFFAOYSA-N;XLYOFNOQVPJJNP-UHFFFAOYSA-N;CCc1cccc(c1N(COC)C(=O)CCl)CC;O;-8.21
UGCSPKPEHQEOSR-UHFFFAOYSA-N;IMNFDUFMRHMDMM-UHFFFAOYSA-N;C(C(F)(Cl)Cl)(F)(Cl)Cl;CCCCCCC;-3.98378775
MWUXSHHQAYIFBG-UHFFFAOYSA-N;VLKZOEOYAKHREP-UHFFFAOYSA-N;[N]=O;CCCCCC;0.44876706
LCGLNKUTAGEVQW-UHFFFAOYSA-N;AQIXEPGDORPWBJ-UHFFFAOYSA-N;COC;CCC(CC)O;-2.18272365
BKIMMITUMNQMOS-UHFFFAOYSA-N;LYGJENNIWJXYER-UHFFFAOYSA-N;CCCCCCCCC;C[N+](=O)[O-];-3.58252635
ZXEKIIBDNHEJCQ-UHFFFAOYSA-N;OHLUUHNLEMFGTQ-UHFFFAOYSA-N;CC(C)CO;C/C(=N/C)/O;-5.90730576
QQZOPKMRPOGIEB-UHFFFAOYSA-N;VZGDMQKNWNREIO-UHFFFAOYSA-N;CCCCC(=O)C;C(Cl)(Cl)(Cl)Cl;-5.47076103
MVPPADPHJFYWMZ-UHFFFAOYSA-N;RSJKGSCJYJTIGS-UHFFFAOYSA-N;c1ccc(cc1)Cl;CCCCCCCCCCC;-4.93874376
JYVLIDXNZAXMDK-UHFFFAOYSA-N;VZGDMQKNWNREIO-UHFFFAOYSA-N;CCCC(C)O;C(Cl)(Cl)(Cl)Cl;-4.7067501
BMVXCPBXGZKUPN-UHFFFAOYSA-N;IMNFDUFMRHMDMM-UHFFFAOYSA-N;CCCCCCN;CCCCCCC;-5.44354905
WCYYQNSQJHPVMG-UHFFFAOYSA-N;XLYOFNOQVPJJNP-UHFFFAOYSA-N;c1c2c(cc(c1Cl)Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2;O;-3.71
HEDRZPFGACZZDS-UHFFFAOYSA-N;KERBAAIBDHEFDD-UHFFFAOYSA-N;C(Cl)(Cl)Cl;CCNC=O;-4.40649588
VXNZUUAINFGPBY-UHFFFAOYSA-N;DCAYPVUWAIABOU-UHFFFAOYSA-N;CCC=C;CCCCCCCCCCCCCCCC;-2.03421081
JUJWROOIHBZHMG-UHFFFAOYSA-N;ZUHZGEOKBKGPSW-UHFFFAOYSA-N;c1ccncc1;COCCOCCOCCOCCOC;-5.2279287
IROINLKCQGIITA-UHFFFAOYSA-N;XLYOFNOQVPJJNP-UHFFFAOYSA-N;CCNc1nc(nc(n1)SC)NC(C)(C)C;O;-6.68
VNWKTOKETHGBQD-UHFFFAOYSA-N;RSJKGSCJYJTIGS-UHFFFAOYSA-N;C;CCCCCCCCCCC;0.27281163
CSCPPACGZOOCGX-UHFFFAOYSA-N;PMDCZENCAXMSOU-UHFFFAOYSA-N;CC(=O)C;CCNC(=O)C;-3.56084901
WEVYAHXRMPXWCK-UHFFFAOYSA-N;LRHPLDYGYMQRHN-UHFFFAOYSA-N;CC#N;CCCCO;-3.54701241
HGCIXCUEYOPUTN-UHFFFAOYSA-N;SECXISVLQFMRJM-UHFFFAOYSA-N;C1CCC=CC1;CN1CCCC1=O;-3.69713952
LIKMAJRDDDTEIG-UHFFFAOYSA-N;DCAYPVUWAIABOU-UHFFFAOYSA-N;CCCCC=C;CCCCCCCCCCCCCCCC;-3.47483148
XLYOFNOQVPJJNP-UHFFFAOYSA-N;ZHNUHDYFZUAESO-UHFFFAOYSA-N;O;C(=O)N;-5.6753121
OKKJLVBELUTLKV-UHFFFAOYSA-N;KXKVLQRXCPHEJC-UHFFFAOYSA-N;CO;CC(=O)OC;-3.77093472
LRHPLDYGYMQRHN-UHFFFAOYSA-N;NZZFYRREKKOMAT-UHFFFAOYSA-N;CCCCO;C(I)I;-4.13368425
HPXRVTGHNJAIIH-UHFFFAOYSA-N;KBPLFHHGFOOTCA-UHFFFAOYSA-N;C1CCC(CC1)O;CCCCCCCCO;-7.06704345
TVMXDCGIABBOFY-UHFFFAOYSA-N;JFDZBHWFFUWGJE-UHFFFAOYSA-N;CCCCCCCC;c1ccc(cc1)C#N;-4.35737595
INQOMBQAUSQDDS-UHFFFAOYSA-N;CSCPPACGZOOCGX-UHFFFAOYSA-N;CI;CC(=O)C;-3.54701241
YWAKXRMUMFPDSH-UHFFFAOYSA-N;KXKVLQRXCPHEJC-UHFFFAOYSA-N;CCCC=C;CC(=O)OC;-2.87593731
URLKBWYHVLBVBO-UHFFFAOYSA-N;YXFVVABEGXRONW-UHFFFAOYSA-N;Cc1ccc(cc1)C;Cc1ccccc1;-5.93059737
LFQSCWFLJHTTHZ-UHFFFAOYSA-N;LYGJENNIWJXYER-UHFFFAOYSA-N;CCO;C[N+](=O)[O-];-3.88139691
IIEWJVIFRVWJOD-UHFFFAOYSA-N;STCOOQWBFONSKY-UHFFFAOYSA-N;CCC1CCCCC1;CCCCOP(=O)(OCCCC)OCCCC;-4.7067501
LSXKDWGTSHCFPP-UHFFFAOYSA-N;XLYOFNOQVPJJNP-UHFFFAOYSA-N;CCCCCCCBr;O;0.34
XNLICIUVMPYHGG-UHFFFAOYSA-N;RUOJZAUFBMNUDX-UHFFFAOYSA-N;CCCC(=O)C;CC1COC(=O)O1;-4.74756807
BZHMBWZPUJHVEE-UHFFFAOYSA-N;YXFVVABEGXRONW-UHFFFAOYSA-N;CC(C)CC(C)C;Cc1ccccc1;-4.04374635
SRBFZHDQGSBBOR-LECHCGJUSA-N;XLYOFNOQVPJJNP-UHFFFAOYSA-N;C1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O;O;-20.52
VZGDMQKNWNREIO-UHFFFAOYSA-N;RYHBNJHYFVUHQT-UHFFFAOYSA-N;C(Cl)(Cl)(Cl)Cl;C1COCCO1;-4.32485994
RAHZWNYVWXNFOC-UHFFFAOYSA-N;WYURNTSHIVDZCO-UHFFFAOYSA-N;O=S=O;C1CCOC1;-3.92913318
SUVIGLJNEAMWEG-UHFFFAOYSA-N;NHTMVDHEPJAVLT-UHFFFAOYSA-N;CCCS;CC(C)CC(C)(C)C;-3.78038973
ZGEGCLOFRBLKSE-UHFFFAOYSA-N;ZMXDDKWLCZADIW-UHFFFAOYSA-N;CCCCCC=C;CN(C)C=O;-3.35606733
ZNQVEEAIQZEUHB-UHFFFAOYSA-N;MVPPADPHJFYWMZ-UHFFFAOYSA-N;CCOCCO;c1ccc(cc1)Cl;-4.92513777
VZGDMQKNWNREIO-UHFFFAOYSA-N;DCAYPVUWAIABOU-UHFFFAOYSA-N;C(Cl)(Cl)(Cl)Cl;CCCCCCCCCCCCCCCC;-3.85141761
ZMANZCXQSJIPKH-UHFFFAOYSA-N;LRHPLDYGYMQRHN-UHFFFAOYSA-N;CCN(CC)CC;CCCCO;-4.85687721
YHQXBTXEYZIYOV-UHFFFAOYSA-N;IMNFDUFMRHMDMM-UHFFFAOYSA-N;CC(C)C=C;CCCCCCC;-2.96057118
WYURNTSHIVDZCO-UHFFFAOYSA-N;KBPLFHHGFOOTCA-UHFFFAOYSA-N;C1CCOC1;CCCCCCCCO;-3.9019212
QQZOPKMRPOGIEB-UHFFFAOYSA-N;OKKJLVBELUTLKV-UHFFFAOYSA-N;CCCCC(=O)C;CO;-5.21155539
CAFAOQIVXSSFSY-UHFFFAOYSA-N;QARVLSVVCXYDNA-UHFFFAOYSA-N;OC(OCC)C;c1ccc(cc1)Br;-4.92513777
HFPZCAJZSCWRBC-UHFFFAOYSA-N;ZNQVEEAIQZEUHB-UHFFFAOYSA-N;Cc1ccc(cc1)C(C)C;CCOCCO;-5.9797173
YMWUJEATGCHHMB-UHFFFAOYSA-N;DNIAPMSPPWPWGF-UHFFFAOYSA-N;C(Cl)Cl;CC(CO)O;-2.9495019
TVMXDCGIABBOFY-UHFFFAOYSA-N;GGYVTHJIUNGKFZ-UHFFFAOYSA-N;CCCCCCCC;CN1CCCCC1=O;-4.02460572
KFUSEUYYWQURPO-OWOJBTEDSA-N;DCAYPVUWAIABOU-UHFFFAOYSA-N;C(=C/Cl)\Cl;CCCCCCCCCCCCCCCC;-3.20594022
YKYONYBAUNKHLG-UHFFFAOYSA-N;STCOOQWBFONSKY-UHFFFAOYSA-N;CCCOC(=O)C;CCCCOP(=O)(OCCCC)OCCCC;-4.52941101
DKPFZGUDAPQIHT-UHFFFAOYSA-N;XNWFRZJHXBZDAG-UHFFFAOYSA-N;CCCCOC(=O)C;COCCO;-5.1910311
RGSFGYAAUTVSQA-UHFFFAOYSA-N;VZGDMQKNWNREIO-UHFFFAOYSA-N;C1CCCC1;C(Cl)(Cl)(Cl)Cl;-3.76401642
ZAFNJMIOTHYJRJ-UHFFFAOYSA-N;VFWCMGCRMGJXDK-UHFFFAOYSA-N;CC(C)OC(C)C;CCCCCl;-4.12422924
OTMSDBZUPAUEDD-UHFFFAOYSA-N;JHIVVAPYMSGYDF-UHFFFAOYSA-N;CC;C1CCC(=O)CC1;-0.52786629
RFCAUADVODFSLZ-UHFFFAOYSA-N;SECXISVLQFMRJM-UHFFFAOYSA-N;C(C(F)(F)Cl)(F)(F)F;CN1CCCC1=O;0.06826056
XNLICIUVMPYHGG-UHFFFAOYSA-N;ZHNUHDYFZUAESO-UHFFFAOYSA-N;CCCC(=O)C;C(=O)N;-4.12007826
ROSDSFDQCJNGOL-UHFFFAOYSA-N;YXFVVABEGXRONW-UHFFFAOYSA-N;CNC;Cc1ccccc1;-2.67945759
POLCUAVZOMRGSN-UHFFFAOYSA-N;OKKJLVBELUTLKV-UHFFFAOYSA-N;CCCOCCC;CO;-3.94273917
ASHGTJPOSUFTGB-UHFFFAOYSA-N;HEDRZPFGACZZDS-UHFFFAOYSA-N;COc1cccc(c1)O;C(Cl)(Cl)Cl;-8.71774983
ZWEHNKRNPOVVGH-UHFFFAOYSA-N;KZVBBTZJMSWGTK-UHFFFAOYSA-N;CCC(=O)C;CCCCOCCOCCOCCCC;-3.91829451
OFBQJSOFQDEBGM-UHFFFAOYSA-N;ZWEHNKRNPOVVGH-UHFFFAOYSA-N;CCCCC;CCC(=O)C;-2.82405006
YNQLUTRBYVCPMQ-UHFFFAOYSA-N;DIOQZVSQGTUSAI-UHFFFAOYSA-N;CCc1ccccc1;CCCCCCCCCC;-5.23207968
QJZUKDFHGGYHMC-UHFFFAOYSA-N;XLYOFNOQVPJJNP-UHFFFAOYSA-N;c1cc(cnc1)C=O;O;-7.1
GDOPTJXRTPNYNR-UHFFFAOYSA-N;ZMXDDKWLCZADIW-UHFFFAOYSA-N;CC1CCCC1;CN(C)C=O;-3.01499514
BLXSFCHWMBESKV-UHFFFAOYSA-N;DCAYPVUWAIABOU-UHFFFAOYSA-N;CCCCCI;CCCCCCCCCCCCCCCC;-5.63449413
ZXNBBWHRUSXUFZ-UHFFFAOYSA-N;TVMXDCGIABBOFY-UHFFFAOYSA-N;CCC(C)C(C)O;CCCCCCCC;-4.87325052
VZGDMQKNWNREIO-UHFFFAOYSA-N;VFWCMGCRMGJXDK-UHFFFAOYSA-N;C(Cl)(Cl)(Cl)Cl;CCCCCl;-4.28796234
WEVYAHXRMPXWCK-UHFFFAOYSA-N;HXJUTPCZVOIRIF-UHFFFAOYSA-N;CC#N;C1CCS(=O)(=O)C1;-4.51165404
YXFVVABEGXRONW-UHFFFAOYSA-N;RSJKGSCJYJTIGS-UHFFFAOYSA-N;Cc1ccccc1;CCCCCCCCCCC;-4.62488355
YBRBMKDOPFTVDT-UHFFFAOYSA-N;DCAYPVUWAIABOU-UHFFFAOYSA-N;CC(C)(C)N;CCCCCCCCCCCCCCCC;-3.40103628
LFQSCWFLJHTTHZ-UHFFFAOYSA-N;JFDZBHWFFUWGJE-UHFFFAOYSA-N;CCO;c1ccc(cc1)C#N;-3.84311565
TVMXDCGIABBOFY-UHFFFAOYSA-N;ZQBFAOFFOQMSGJ-UHFFFAOYSA-N;CCCCCCCC;c1(c(c(c(c(c1F)F)F)F)F)F;-4.83496926
HGCIXCUEYOPUTN-UHFFFAOYSA-N;POAOYUHQDCAZBD-UHFFFAOYSA-N;C1CCC=CC1;CCCCOCCO;-3.87447861
AHAREKHAZNPPMI-AATRIKPKSA-N;GQEZCXVZFLOKMC-UHFFFAOYSA-N;CC/C=C/C=C;CCCCCCCCCCCCCCC=C;-3.63856458
VFWCMGCRMGJXDK-UHFFFAOYSA-N;JUJWROOIHBZHMG-UHFFFAOYSA-N;CCCCCl;c1ccncc1;-4.32601299
MVPPADPHJFYWMZ-UHFFFAOYSA-N;CSCPPACGZOOCGX-UHFFFAOYSA-N;c1ccc(cc1)Cl;CC(=O)C;-5.64810012
KJDRSWPQXHESDQ-UHFFFAOYSA-N;VLKZOEOYAKHREP-UHFFFAOYSA-N;C(CCCl)CCl;CCCCCC;-4.95234975
BTJIUGUIPKRLHP-UHFFFAOYSA-N;XLYOFNOQVPJJNP-UHFFFAOYSA-N;c1cc(ccc1[N+](=O)[O-])O;O;-10.64
WGYKZJWCGVVSQN-UHFFFAOYSA-N;DURPTKYDGMDSBL-UHFFFAOYSA-N;CCCN;CCCCOCCCC;-2.9195226
YKYONYBAUNKHLG-UHFFFAOYSA-N;YXFVVABEGXRONW-UHFFFAOYSA-N;CCCOC(=O)C;Cc1ccccc1;-5.00008602
RTZKZFJDLAIYFH-UHFFFAOYSA-N;MVPPADPHJFYWMZ-UHFFFAOYSA-N;CCOCC;c1ccc(cc1)Cl;-4.03821171
CURLTUGMZLYLDI-UHFFFAOYSA-N;WYURNTSHIVDZCO-UHFFFAOYSA-N;C(=O)=O;C1CCOC1;-1.11868911
PMJHHCWVYXUKFD-PLNGDYQASA-N;OHLUUHNLEMFGTQ-UHFFFAOYSA-N;C/C=C\C=C;C/C(=N/C)/O;-2.89231062
HXDOZKJGKXYMEW-UHFFFAOYSA-N;XLYOFNOQVPJJNP-UHFFFAOYSA-N;CCc1ccc(cc1)O;O;-6.13
VADKRMSMGWJZCF-UHFFFAOYSA-N;VZGDMQKNWNREIO-UHFFFAOYSA-N;c1ccc(c(c1)O)Br;C(Cl)(Cl)(Cl)Cl;-7.09425543
LFQSCWFLJHTTHZ-UHFFFAOYSA-N;MCSAJNNLRCFZED-UHFFFAOYSA-N;CCO;CC[N+](=O)[O-];-3.84588297
HVTICUPFWKNHNG-UHFFFAOYSA-N;XEKOWRVHYACXOJ-UHFFFAOYSA-N;CCI;CCOC(=O)C;-4.03821171
XLYOFNOQVPJJNP-UHFFFAOYSA-N;ZMXDDKWLCZADIW-UHFFFAOYSA-N;O;CN(C)C=O;-5.55262758
UWNADWZGEHDQAB-UHFFFAOYSA-N;KWOLFJPFCHCOCG-UHFFFAOYSA-N;CC(C)CCC(C)C;CC(=O)c1ccccc1;-3.74625945
XDTMQSROBMDMFD-UHFFFAOYSA-N;LYGJENNIWJXYER-UHFFFAOYSA-N;C1CCCCC1;C[N+](=O)[O-];-2.70666957
QZYNWJQFTJXIRN-UHFFFAOYSA-N;XLYOFNOQVPJJNP-UHFFFAOYSA-N;c1c(cc(c(c1Cl)Cl)Cl)Cl;O;-1.62
BBMCTIGTTCKYKF-UHFFFAOYSA-N;XLYOFNOQVPJJNP-UHFFFAOYSA-N;CCCCCCCO;O;-4.21
RYHBNJHYFVUHQT-UHFFFAOYSA-N;PYLWMHQQBFSUBP-UHFFFAOYSA-N;C1COCCO1;c1ccc(cc1)F;-5.15690082
WYURNTSHIVDZCO-UHFFFAOYSA-N;FILVIKOEJGORQS-UHFFFAOYSA-N;C1CCOC1;CC1CCC(=O)N1C;-3.90307425
KGPPDNUWZNWPSI-UHFFFAOYSA-N;SNRUBQQJIBEYMU-UHFFFAOYSA-N;C(C(F)(F)F)OCC(F)(F)F;CCCCCCCCCCCC;-2.00538456
ZXIJMRYMVAMXQP-UHFFFAOYSA-N;ZMXDDKWLCZADIW-UHFFFAOYSA-N;C1CCC=CCC1;CN(C)C=O;-4.22915679
IMNFDUFMRHMDMM-UHFFFAOYSA-N;ZAFNJMIOTHYJRJ-UHFFFAOYSA-N;CCCCCCC;CC(C)OC(C)C;-4.61934891
ZXEKIIBDNHEJCQ-UHFFFAOYSA-N;KTSVVTQTKRGWGU-UHFFFAOYSA-N;CC(C)CO;CCCCOCCOCCOCCOCCCC;-5.0641956
GHMLBKRAJCXXBS-UHFFFAOYSA-N;HEDRZPFGACZZDS-UHFFFAOYSA-N;c1cc(cc(c1)O)O;C(Cl)(Cl)Cl;-9.56362731
FGLBSLMDCBOPQK-UHFFFAOYSA-N;XLYOFNOQVPJJNP-UHFFFAOYSA-N;CC(C)[N+](=O)[O-];O;-3.13
KUFFULVDNCHOFZ-UHFFFAOYSA-N;HEDRZPFGACZZDS-UHFFFAOYSA-N;Cc1ccc(c(c1)C)O;C(Cl)(Cl)Cl;-8.06281743
XDTMQSROBMDMFD-UHFFFAOYSA-N;MTZQAGJQAFMTAQ-UHFFFAOYSA-N;C1CCCCC1;CCOC(=O)c1ccccc1;-3.75317775
URLKBWYHVLBVBO-UHFFFAOYSA-N;KBPLFHHGFOOTCA-UHFFFAOYSA-N;Cc1ccc(cc1)C;CCCCCCCCO;-5.17050681
XEKOWRVHYACXOJ-UHFFFAOYSA-N;STCOOQWBFONSKY-UHFFFAOYSA-N;CCOC(=O)C;CCCCOP(=O)(OCCCC)OCCCC;-3.94273917
CSCPPACGZOOCGX-UHFFFAOYSA-N;AJFDBNQQDYLMJN-UHFFFAOYSA-N;CC(=O)C;CCN(CC)C(=O)C;-3.82005465
IVSZLXZYQVIEFR-UHFFFAOYSA-N;ZHNUHDYFZUAESO-UHFFFAOYSA-N;Cc1cccc(c1)C;C(=O)N;-3.28780677
IJGRMHOSHXDMSA-UHFFFAOYSA-N;OHLUUHNLEMFGTQ-UHFFFAOYSA-N;N#N;C/C(=N/C)/O;1.52802186
IVSZLXZYQVIEFR-UHFFFAOYSA-N;POAOYUHQDCAZBD-UHFFFAOYSA-N;Cc1cccc(c1)C;CCCCOCCO;-5.30702793
QRMPKOFEUHIBNM-ZKCHVHJHSA-N;LCEDQNDDFOCWGG-UHFFFAOYSA-N;C[C@H]1CC[C@@H](CC1)C;C1COCCN1C=O;-3.20594022
XDTMQSROBMDMFD-UHFFFAOYSA-N;RTZKZFJDLAIYFH-UHFFFAOYSA-N;C1CCCCC1;CCOCC;-4.18833882
FKRCODPIKNYEAC-UHFFFAOYSA-N;TVMXDCGIABBOFY-UHFFFAOYSA-N;CCC(=O)OCC;CCCCCCCC;-4.10647227
UHOVQNZJYSORNB-UHFFFAOYSA-N;MVPPADPHJFYWMZ-UHFFFAOYSA-N;c1ccccc1;c1ccc(cc1)Cl;-4.42033248
UOCLXMDMGBRAIB-UHFFFAOYSA-N;WSLDOOZREJYCGB-UHFFFAOYSA-N;CC(Cl)(Cl)Cl;C(CCl)Cl;-4.24299339
OKKJLVBELUTLKV-UHFFFAOYSA-N;AMQJEAYHLZJPGS-UHFFFAOYSA-N;CO;CCCCCO;-4.18833882
HWWYDZCSSYKIAD-UHFFFAOYSA-N;DCAYPVUWAIABOU-UHFFFAOYSA-N;Cc1cc(cnc1)C;CCCCCCCCCCCCCCCC;-5.79822723
HQABUPZFAYXKJW-UHFFFAOYSA-N;DIOQZVSQGTUSAI-UHFFFAOYSA-N;CCCCN;CCCCCCCCCC;-3.39711591
AFABGHUZZDYHJO-UHFFFAOYSA-N;VLKZOEOYAKHREP-UHFFFAOYSA-N;CCCC(C)C;CCCCCC;-3.84726663
GWYFCOCPABKNJV-UHFFFAOYSA-N;DCAYPVUWAIABOU-UHFFFAOYSA-N;CC(C)CC(=O)O;CCCCCCCCCCCCCCCC;-4.50219903
SFZCNBIFKDRMGX-UHFFFAOYSA-N;DKGAVHZHDRPRBM-UHFFFAOYSA-N;FS(F)(F)(F)(F)F;CC(C)(C)O;-0.10907853
ZWEHNKRNPOVVGH-UHFFFAOYSA-N;KBPLFHHGFOOTCA-UHFFFAOYSA-N;CCC(=O)C;CCCCCCCCO;-3.77900607
YNQLUTRBYVCPMQ-UHFFFAOYSA-N;BDERNNFJNOPAEC-UHFFFAOYSA-N;CCc1ccccc1;CCCO;-4.9304418
YXFVVABEGXRONW-UHFFFAOYSA-N;YEJRWHAVMIAJKC-UHFFFAOYSA-N;Cc1ccccc1;C1CC(=O)OC1;-4.80775728
KWKAKUADMBZCLK-UHFFFAOYSA-N;RUOJZAUFBMNUDX-UHFFFAOYSA-N;CCCCCCC=C;CC1COC(=O)O1;-3.36967332
YWAKXRMUMFPDSH-UHFFFAOYSA-N;JHIVVAPYMSGYDF-UHFFFAOYSA-N;CCCC=C;C1CCC(=O)CC1;-2.76685878
UAEPNZWRGJTJPN-UHFFFAOYSA-N;XLYOFNOQVPJJNP-UHFFFAOYSA-N;CC1CCCCC1;O;1.7
RLPGDEORIPLBNF-UHFFFAOYSA-N;WSLDOOZREJYCGB-UHFFFAOYSA-N;CC(C)C(C)C(C)C;C(CCl)Cl;-4.35207192
PYLWMHQQBFSUBP-UHFFFAOYSA-N;ZNQVEEAIQZEUHB-UHFFFAOYSA-N;c1ccc(cc1)F;CCOCCO;-4.38481854
LFQSCWFLJHTTHZ-UHFFFAOYSA-N;MHDVGSVTJDSBDK-UHFFFAOYSA-N;CCO;c2ccc(COCc1ccccc1)cc2;-3.27558444
GLZPCOQZEFWAFX-YFHOEESVSA-N;XLYOFNOQVPJJNP-UHFFFAOYSA-N;CC(=CCC/C(=C\CO)/C)C;O;-4.78
YLQBMQCUIZJEEH-UHFFFAOYSA-N;KZVBBTZJMSWGTK-UHFFFAOYSA-N;c1ccoc1;CCCCOCCOCCOCCCC;-3.24422148
HEDRZPFGACZZDS-UHFFFAOYSA-N;ZUHZGEOKBKGPSW-UHFFFAOYSA-N;C(Cl)(Cl)Cl;COCCOCCOCCOCCOC;-4.6467915
RYHBNJHYFVUHQT-UHFFFAOYSA-N;KFZMGEQAYNKOFK-UHFFFAOYSA-N;C1COCCO1;CC(C)O;-4.55662299
ISPYQTSUDJAMAB-UHFFFAOYSA-N;XLYOFNOQVPJJNP-UHFFFAOYSA-N;c1ccc(c(c1)O)Cl;O;-4.55
ISWSIDIOOBJBQZ-UHFFFAOYSA-N;DCAYPVUWAIABOU-UHFFFAOYSA-N;c1ccc(cc1)O;CCCCCCCCCCCCCCCC;-5.26067532
JSZOAYXJRCEYSX-UHFFFAOYSA-N;XLYOFNOQVPJJNP-UHFFFAOYSA-N;CCC[N+](=O)[O-];O;-3.34
YMWUJEATGCHHMB-UHFFFAOYSA-N;PAPBSGBWRJIAAV-UHFFFAOYSA-N;C(Cl)Cl;C1CCC(=O)OCC1;-3.91137621
NALZTFARIYUCBY-UHFFFAOYSA-N;DCAYPVUWAIABOU-UHFFFAOYSA-N;CCCC[N+](=O)[O-];CCCCCCCCCCCCCCCC;-4.543017
